ID,Title ,Creator,Original_Date_Published,Original_Publisher,URL,Acess_Date,Type,Genre,Software_Dependencies,Computer_Language,Authoring_Platforms,Interaction_Level,Textuality,Versioning,Language,Metadata_Source,Preservation_status,L- icense ,Short_Description
ELIT001,Amor de Clarice ,Rui Torres,2005,Rui Torres,https://collection.eliterature.org/2/works/torres_amordeclarice.html,23/01/2026,Multimedia,Poetry,Flash Plugin; Web Browser,HTML,Flash,Medium,Non-linear,Multiple versions,Pt,Electronic Literature Collection (Volume 2),Archived,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,"An interactive multimedia poem based on Clarice Lispector’s short story, combining animated text, sound, and reader manipulation."
ELIT002,Chroma,Erik Loyer,2001,Erik Loyer,https://collection.eliterature.org/2/works/loyer_chroma.html,23/01/2026,Multimedia,Essay; Music; Poetry ,Shockwave,HTML; JavaScript,Director,Medium,Non-linear,Stable,En,Electronic Literature Collection (Volume 2),Partially broken,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,An interactive audiovisual narrative exploring synaesthetic perception through task-based navigation in a mythic digital story world.
ELIT003,Entre Ville,J.R. Carpenter,2008,J.R. Carpenter,https://collection.eliterature.org/2/works/carpenter_entreville.html,23/01/2026,Hypertext,Place-Based; Poetry,QuickTime Player; Web Browser,CSS; HTML; JavaScript,QuickTime,Medium,Non-linear,Stable,En,Electronic Literature Collection (Volume 2),Partially broken,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,"A hypermedia poem exploring a Montréal neighborhood through clickable videos, maps, and poetic text integrating sight and sound."
ELIT004,Böhmische Dörfer,Alexandra Saemmer,2011,Undetermined,https://prezi.com/nrexwjyhg0fe/bohmische-dorfer/,23/01/2026,Multimedia,Poetry; Presentation,Flash Player; Prezi,Not stated,Flash; Prezi,Medium,Non-linear,Stable,"En, Fr, De",Electronic Literature Collection (Volume 3),Partially broken,Creative Commons Attribution-NonCommercial-NoDerivs 4.0 International,"An interactive e-poem about the 1945 evacuation from Brno, using Prezi to combine textual layers, video, and sound on a spatial canvas."
ELIT005,Landscapes,Bill Marsh,2002,Bill Marsh,http://www.factoryschool.org/btheater/,24/01/2026,Multimedia,Visual Poetry,Flash Plugin; Web Browser,Not stated,Flash,Low,Linear,Stable,En,Electronic Literature Collection (Volume 1),,Creative Commons Attribution-NonCommercial-NoDerivs 2.5 License.,"Animated short poems paired with psychedelic landscapes, scrolling Biblical proverbs, and ambient sounds creating a multimedia dreamscape."
ELIT006,RedRidinghood,Donna Leishman,2001,Donna Leishman,http://www.6amhoover.com,24/01/2026,Interactive Fiction,Parody/Satire,Flash Plugin; Web Browser,JavaScript,Flash,Medium,Non-linear,Stable,En,Electronic Literature Collection (Volume 1),Archived,Creative Commons Attribution-NonCommercial-NoDerivs 2.5 License.,"A playful Flash retelling of Little Red Riding Hood with optional narrative paths, interactive exploration, and a jazzy soundtrack."
ELIT007,Deviant: The Possession of Christian Shaw,Donna Leishman,2004,Donna Leishman,http://www.6amhoover.com,24/01/2026,Interactive Fiction,Visual Narrative,Flash Plugin; Web Browser,Not stated,Flash,Medium,Non-linear,Stable,En,Electronic Literature Collection (Volume 1),Archived,Creative Commons Attribution-NonCommercial-NoDerivs 2.5 License.,"An animated interactive graphic retelling the historical story of Christian Shaw, with visual exploration, portals, and non-linear narrative."
ELIT008,Girls’ Day Out,Kerry Lawrynovicz,2004,Kerry Lawrynovicz,Not available,24/01/2026,Generative,Combinatorial Fiction; Generative Poetry,Flash Plugin; Web Browser,Not stated,Flash,Medium,Non-linear,Stable,En,Electronic Literature Collection (Volume 1),Inaccessible,Creative Commons Attribution-NonCommercial-NoDerivs 2.5 License.,A generative Flash work using combinatory techniques to reveal a tragic story through fading and recombining text.
ELIT009,Carving in Possibilities,Deena Larsen,2001,Online Journal of Culture and Technology,http://trace.ntu.ac.uk/frame6/,24/01/2026,Interactive Fiction,Kinetic/Animated; Time-Based; Visual Narrative,Flash Plugin; Web Browser,Not stated,Flash,Medium,Non-linear,Stable,En,Electronic Literature Collection (Volume 1),Archived,Creative Commons Attribution-NonCommercial-NoDerivs 2.5 License.,"An interactive Flash piece where mouse movements carve text and sound, creating sculptural patterns of phrases about Michelangelo's David."
ELIT010,Faith,Robert Kendall,2002,Cauldron & Net ,http://www.studiocleo.com/cauldron,25/01/2026,Kinetic poetry,Animated Poetry,Flash Plugin; Web Browser,Not stated,Flash,Low,Linear,Stable,En,Electronic Literature Collection (Volume 1),Archived,Creative Commons Attribution-NonCommercial-NoDerivs 2.5 License.,"A kinetic poem with five successive states, where words and letters rearrange with music to form a progressing textual logic."
ELIT011,Twelve Blue ,Michael Joyce,1996,Postmodern Culture & Eastgate Systems,http://www.eastgate.com,25/01/2026,Hypertext,Fiction,Web Browser,HTML; DHTML,Storyspace,Medium,Non-linear,Stable,En,Electronic Literature Collection (Volume 1),Live,Creative Commons Attribution-NonCommercial-NoDerivs 2.5 License.,"A non-linear HTML hypertext exploring memory, desire, and interwoven stories through frames, image maps, and clickable threads."
ELIT012,my body — a Wunderkammer,Shelley Jackson,1997,Alt-X Online Network (,http://www.altx.com/thebody,25/01/2026,Hypertext,Memoir; Visual Narrative,Web Browser,HTML; DHTML,Not stated,Medium,Non-linear,Stable,En,Electronic Literature Collection (Volume 1),Live,Creative Commons Attribution-NonCommercial-NoDerivs 2.5 License.,"A semi-autobiographical HTML hypertext exploring the body through clickable images, text, and audio reflections."
ELIT013,Golpe de gracia,Jaime Alejandro Rodríguez,2006,Jaime Alejandro Rodríguez,https://collection.eliterature.org/2/works/rodriguez_golpedegracia.html,25/01/2026,Hypertext,Fiction; Game; Narrative,Flash Plugin; Web Browser,CSS; JavaScript; XHTML,Flash,Medium,Non-linear,Stable,Es,The Electronic Literature Collection (Volume 2),Archived,Creative Commons Attribution-NonCommercial-NoDerivs 2.5,"A Flash hypermedia narrative where the reader navigates rooms and texts as journalist, detective, and explorer."
